case_id,k,n,m,status,cutset_count,full_sigma_count,elementary_count,tn_count,hierarchy_depth,small_terminals,high_terminals,crossed_terminals,verified,bundle_path
curated-k2-small_clique,2,3,3,SMALL,0,0,0,0,0,1,0,0,true,gpt/curated-k2-small_clique/gpt_visualization_bundle.json
curated-k2-high_clique,2,4,6,HIGH,0,0,0,0,0,0,1,0,true,gpt/curated-k2-high_clique/gpt_visualization_bundle.json
curated-k2-joined_cycle,2,6,6,CROSSED,9,9,9,0,0,0,0,1,true,gpt/curated-k2-joined_cycle/gpt_visualization_bundle.json
curated-k2-complete_bipartite,2,7,10,SPLIT,1,15,5,5,1,6,0,0,true,gpt/curated-k2-complete_bipartite/gpt_visualization_bundle.json
curated-k2-two_glued_cliques,2,6,11,SPLIT,1,1,1,1,1,0,2,0,true,gpt/curated-k2-two_glued_cliques/gpt_visualization_bundle.json
curated-k2-three_glued_cliques,2,8,16,SPLIT,1,3,3,3,1,1,3,0,true,gpt/curated-k2-three_glued_cliques/gpt_visualization_bundle.json
curated-k3-small_clique,3,4,6,SMALL,0,0,0,0,0,1,0,0,true,gpt/curated-k3-small_clique/gpt_visualization_bundle.json
curated-k3-high_clique,3,5,10,HIGH,0,0,0,0,0,0,1,0,true,gpt/curated-k3-high_clique/gpt_visualization_bundle.json
curated-k3-joined_cycle,3,7,12,CROSSED,9,9,9,0,0,0,0,1,true,gpt/curated-k3-joined_cycle/gpt_visualization_bundle.json
curated-k3-complete_bipartite,3,8,15,SPLIT,1,15,5,5,1,6,0,0,true,gpt/curated-k3-complete_bipartite/gpt_visualization_bundle.json
curated-k3-two_glued_cliques,3,7,17,SPLIT,1,1,1,1,1,0,2,0,true,gpt/curated-k3-two_glued_cliques/gpt_visualization_bundle.json
curated-k3-three_glued_cliques,3,9,24,SPLIT,1,3,3,3,1,1,3,0,true,gpt/curated-k3-three_glued_cliques/gpt_visualization_bundle.json
curated-k4-small_clique,4,5,10,SMALL,0,0,0,0,0,1,0,0,true,gpt/curated-k4-small_clique/gpt_visualization_bundle.json
curated-k4-high_clique,4,6,15,HIGH,0,0,0,0,0,0,1,0,true,gpt/curated-k4-high_clique/gpt_visualization_bundle.json
curated-k4-joined_cycle,4,8,19,CROSSED,9,9,9,0,0,0,0,1,true,gpt/curated-k4-joined_cycle/gpt_visualization_bundle.json
curated-k4-complete_bipartite,4,9,20,SPLIT,1,15,5,5,1,6,0,0,true,gpt/curated-k4-complete_bipartite/gpt_visualization_bundle.json
curated-k4-two_glued_cliques,4,8,24,SPLIT,1,1,1,1,1,0,2,0,true,gpt/curated-k4-two_glued_cliques/gpt_visualization_bundle.json
curated-k4-three_glued_cliques,4,10,33,SPLIT,1,3,3,3,1,1,3,0,true,gpt/curated-k4-three_glued_cliques/gpt_visualization_bundle.json
